CountryName,AvgHappinessScore,AvgLogGDP
Zimbabwe,3.875,7.330045223
Zambia,4.513999939,8.080556393
Yemen,3.592999935,8.229635179
Vietnam,5.073999882,8.453303857
Venezuela,5.25,9.706944812
Uzbekistan,5.971000195,8.419954205
Uruguay,6.453999996,9.756353725
United States,6.993000031,10.834686279
United Kingdom,6.714000225,10.528830528
United Arab Emirates,6.647999763,11.074729496
Ukraine,4.096000195,8.993159207
Uganda,4.080999851,7.364102927
Turkey,5.5,9.759310722
Trinidad and Tobago,6.168000221,10.318881273
Togo,3.494999886,7.168830395
Thailand,6.423999786,9.534526565
Tanzania,3.348999977,7.696117575
Tajikistan,5.040999889,7.710447615
Taiwan,6.421999931,10.461756706
Switzerland,7.493999958,10.902918975
Sweden,7.283999920,10.679639296
Sri Lanka,4.440000057,9.091129780
Spain,6.402999878,10.402937802
South Korea,5.837999821,10.340151613
South Africa,4.828999996,9.408756343
Slovenia,5.757999897,10.250239690
Slovakia,6.098000050,10.144333005
Singapore,6.572000027,11.192634296
Sierra Leone,4.709000111,7.290820599
Serbia,5.394999981,9.437522676
Senegal,4.534999847,7.695251161
Saudi Arabia,6.343999863,10.733719306
Rwanda,3.470999956,7.261803203
Russia,5.962999821,10.066547914
Romania,5.824999809,9.791525269
Portugal,5.195000172,10.194787873
Poland,5.973000050,9.998425865
Philippines,5.429999828,8.683743390
Peru,5.715000153,9.225046331
Paraguay,5.493000031,8.917076631
Panama,6.452000141,9.737108317
Palestinian,Territories,4.775000095,8.368801984
Pakistan,5.269000053,8.392334938
Norway,7.537000179,11.072180271
Nigeria,5.073999882,8.524475204
Niger,4.027999878,6.733642318
Nicaragua,6.071000099,8.374392770
New Zealand,7.314000130,10.417735863
Netherlands,7.376999855,10.737159729
Nepal,4.961999893,7.618389346
Namibia,4.573999882,9.077951431
Mozambique,4.550000191,6.799649620
Montenegro,5.236999989,9.562251091
Mongolia,4.954999924,9.148584048
Moldova,5.837999821,8.325960246
Mexico,6.578000069,9.671638229
Mauritania,4.291999817,8.165886021
Mali,4.190000057,7.543037796
Malaysia,6.084000111,9.988615799
Malawi,3.970000029,6.948126687
Madagascar,3.644000053,7.242781222
Macedonia,5.175000191,9.374432988
Lithuania,5.901999950,10.053604820
Liberia,3.532999992,6.597323020
Lebanon,5.224999905,9.547918840
Latvia,5.849999905,9.947515202
Kyrgyzstan,5.004000187,7.972259348
Kuwait,6.105000019,11.226291868
Kosovo,5.278999805,9.024170208
Kenya,4.552999973,7.870166952
Kazakhstan,5.818999767,9.987294284
Jordan,5.335999966,9.234549262
Japan,5.920000076,10.459041162
Jamaica,5.310999870,9.057174206
Italy,5.964000225,10.472170656
Israel,7.212999821,10.310793877
Ireland,6.977000237,10.773079109
Iran,4.691999912,9.708514531
Indonesia,5.262000084,9.086058443
India,4.315000057,8.428981348
Hungary,5.323999882,10.043942547
Hong Kong,5.472000122,10.794056773
Honduras,5.181000233,8.409080939
Haiti,3.602999926,7.377511766
Guatemala,6.453999996,8.832413067
Greece,5.227000237,10.206869698
Ghana,4.119999886,8.110743956
Germany,6.951000214,10.638050166
Georgia,4.285999775,8.899634795
France,6.441999912,10.520207492
Finland,7.468999863,10.586614715
Estonia,5.611000061,10.141246128
El Salvador,6.002999783,8.948787342
Egypt,4.735000134,9.185647184
Ecuador,6.007999897,9.190328685
Dominican,Republic,5.230000019,9.348268162
Denmark,7.521999836,10.682385098
Czech Republic,6.609000206,10.255678813
Cyprus,5.620999813,10.368423462
Croatia,5.293000221,9.921454310
Costa Rica,7.078999996,9.486928333
Colombia,6.356999874,9.346375292
China,5.272999763,9.204403010
Chile,6.651999950,9.911846941
Chad,3.936000109,7.543025884
Central African Republic,2.693000078,6.790519396
Canada,7.315999985,10.638346239
Cameroon,4.695000172,7.897977309
Cambodia,4.168000221,7.902773770
Burkina,Faso,4.032000065,7.281337166
Bulgaria,4.714000225,9.680205822
Brazil,6.635000229,9.553452578
Botswana,3.766000032,9.551094055
Bosnia and Herzegovina,5.182000160,9.163873884
Bolivia,5.822999954,8.641050339
Benin,3.657000065,7.526327550
Belize,5.955999851,8.983297825
Belgium,6.890999794,10.616379261
Belarus,5.568999767,9.642287081
Bangladesh,4.607999802,7.859168139
Azerbaijan,5.234000206,9.623171113
Austria,7.006000042,10.684773657
Australia,7.283999920,10.645590115
Armenia,4.375999928,8.866785483
Argentina,6.598999977,9.658498446
Albania,4.644000053,9.172559208
